time,module,action
3.3622,PROCEDURAL,RULE SELECTED: reset_goal
3.4122,PROCEDURAL,RULE FIRED: reset_goal
3.4122,g,MODIFIED
3.4122,PROCEDURAL,CONFLICT RESOLUTION
3.4122,PROCEDURAL,RULE SELECTED: encode_letter
3.4622,PROCEDURAL,RULE FIRED: encode_letter
3.4622,g,MODIFIED
3.4622,g2,CLEARED
3.4622,PROCEDURAL,CONFLICT RESOLUTION
3.4622,PROCEDURAL,NO RULE FOUND
3.6622,g2,CREATED A CHUNK: image(img=  )
3.6622,PROCEDURAL,CONFLICT RESOLUTION
3.6622,PROCEDURAL,RULE SELECTED: ignore_non_A
3.7122,PROCEDURAL,RULE FIRED: ignore_non_A
3.7122,g,MODIFIED
3.7122,PROCEDURAL,CONFLICT RESOLUTION
3.7122,PROCEDURAL,RULE SELECTED: reset_goal
3.7622,PROCEDURAL,RULE FIRED: reset_goal
3.7622,g,MODIFIED
3.7622,PROCEDURAL,CONFLICT RESOLUTION
3.7622,PROCEDURAL,RULE SELECTED: encode_letter
3.8122,PROCEDURAL,RULE FIRED: encode_letter
3.8122,g,MODIFIED
3.8122,g2,CLEARED
3.8122,PROCEDURAL,CONFLICT RESOLUTION
3.8122,PROCEDURAL,NO RULE FOUND
4.0,PROCEDURAL,CONFLICT RESOLUTION
4.0,PROCEDURAL,NO RULE FOUND
4.0084,visual,"AUTOMATIC BUFFERING: _visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 320, screen_y= 185, value= ), value= A)"
4.0084,PROCEDURAL,CONFLICT RESOLUTION
4.0084,PROCEDURAL,NO RULE FOUND
4.0122,g2,CREATED A CHUNK: image(img=  )
4.0122,PROCEDURAL,CONFLICT RESOLUTION
4.0122,PROCEDURAL,RULE SELECTED: ignore_non_A
4.0622,PROCEDURAL,RULE FIRED: ignore_non_A
4.0622,g,MODIFIED
4.0622,PROCEDURAL,CONFLICT RESOLUTION
4.0622,PROCEDURAL,RULE SELECTED: reset_goal
4.1122,PROCEDURAL,RULE FIRED: reset_goal
4.1122,g,MODIFIED
4.1122,PROCEDURAL,CONFLICT RESOLUTION
4.1122,PROCEDURAL,RULE SELECTED: encode_letter
4.1622,PROCEDURAL,RULE FIRED: encode_letter
4.1622,g,MODIFIED
4.1622,g2,CLEARED
4.1622,PROCEDURAL,CONFLICT RESOLUTION
4.1622,PROCEDURAL,NO RULE FOUND
4.3622,g2,CREATED A CHUNK: image(img= A)
4.3622,PROCEDURAL,CONFLICT RESOLUTION
4.3622,PROCEDURAL,RULE SELECTED: respond_to_A
4.4122,PROCEDURAL,RULE FIRED: respond_to_A
4.4122,g,MODIFIED
4.4122,manual,COMMAND: press_key
4.4122,manual,PREPARATION COMPLETE
4.4122,PROCEDURAL,CONFLICT RESOLUTION
4.4122,PROCEDURAL,RULE SELECTED: reset_goal
4.4622,manual,INITIATION COMPLETE
4.4622,PROCEDURAL,RULE FIRED: reset_goal
4.4622,g,MODIFIED
4.4622,PROCEDURAL,CONFLICT RESOLUTION
4.4622,PROCEDURAL,RULE SELECTED: encode_letter
4.5122,PROCEDURAL,RULE FIRED: encode_letter
4.5122,g,MODIFIED
4.5122,g2,CLEARED
4.5122,PROCEDURAL,CONFLICT RESOLUTION
4.5122,PROCEDURAL,NO RULE FOUND
4.5622,manual,KEY PRESSED: 1
4.5622,PROCEDURAL,CONFLICT RESOLUTION
4.5622,PROCEDURAL,NO RULE FOUND
4.7122,manual,MOVEMENT FINISHED
4.7122,g2,CREATED A CHUNK: image(img= A)
4.7122,PROCEDURAL,CONFLICT RESOLUTION
4.7122,PROCEDURAL,RULE SELECTED: respond_to_A
4.7622,PROCEDURAL,RULE FIRED: respond_to_A
4.7622,g,MODIFIED
4.7622,manual,COMMAND: press_key
4.7622,manual,PREPARATION COMPLETE
4.7622,PROCEDURAL,CONFLICT RESOLUTION
4.7622,PROCEDURAL,RULE SELECTED: reset_goal
4.8122,manual,INITIATION COMPLETE
4.8122,PROCEDURAL,RULE FIRED: reset_goal
4.8122,g,MODIFIED
4.8122,PROCEDURAL,CONFLICT RESOLUTION
4.8122,PROCEDURAL,RULE SELECTED: encode_letter
4.8622,PROCEDURAL,RULE FIRED: encode_letter
4.8622,g,MODIFIED
4.8622,g2,CLEARED
4.8622,PROCEDURAL,CONFLICT RESOLUTION
4.8622,PROCEDURAL,NO RULE FOUND
4.9122,manual,KEY PRESSED: 1
4.9122,PROCEDURAL,CONFLICT RESOLUTION
4.9122,PROCEDURAL,NO RULE FOUND
5.0,PROCEDURAL,CONFLICT RESOLUTION
5.0,PROCEDURAL,NO RULE FOUND
5.009,visual,"AUTOMATIC BUFFERING: _visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 320, screen_y= 185, value= ), value=  )"
5.009,PROCEDURAL,CONFLICT RESOLUTION
5.009,PROCEDURAL,NO RULE FOUND
5.0622,manual,MOVEMENT FINISHED
5.0622,g2,CREATED A CHUNK: image(img= A)
5.0622,PROCEDURAL,CONFLICT RESOLUTION
5.0622,PROCEDURAL,RULE SELECTED: respond_to_A
5.1122,PROCEDURAL,RULE FIRED: respond_to_A
5.1122,g,MODIFIED
5.1122,manual,COMMAND: press_key
5.1122,manual,PREPARATION COMPLETE
5.1122,PROCEDURAL,CONFLICT RESOLUTION
5.1122,PROCEDURAL,RULE SELECTED: reset_goal
5.1622,manual,INITIATION COMPLETE
5.1622,PROCEDURAL,RULE FIRED: reset_goal
5.1622,g,MODIFIED
5.1622,PROCEDURAL,CONFLICT RESOLUTION
5.1622,PROCEDURAL,RULE SELECTED: encode_letter
5.2122,PROCEDURAL,RULE FIRED: encode_letter
5.2122,g,MODIFIED
5.2122,g2,CLEARED
5.2122,PROCEDURAL,CONFLICT RESOLUTION
5.2122,PROCEDURAL,NO RULE FOUND
5.2622,manual,KEY PRESSED: 1
5.2622,PROCEDURAL,CONFLICT RESOLUTION
5.2622,PROCEDURAL,NO RULE FOUND
5.4122,manual,MOVEMENT FINISHED
5.4122,g2,CREATED A CHUNK: image(img=  )
5.4122,PROCEDURAL,CONFLICT RESOLUTION
5.4122,PROCEDURAL,RULE SELECTED: ignore_non_A
5.4622,PROCEDURAL,RULE FIRED: ignore_non_A
5.4622,g,MODIFIED
5.4622,PROCEDURAL,CONFLICT RESOLUTION
5.4622,PROCEDURAL,RULE SELECTED: reset_goal
5.5122,PROCEDURAL,RULE FIRED: reset_goal
5.5122,g,MODIFIED
5.5122,PROCEDURAL,CONFLICT RESOLUTION
5.5122,PROCEDURAL,RULE SELECTED: encode_letter
5.5622,PROCEDURAL,RULE FIRED: encode_letter
5.5622,g,MODIFIED
5.5622,g2,CLEARED
5.5622,PROCEDURAL,CONFLICT RESOLUTION
5.5622,PROCEDURAL,NO RULE FOUND
5.7622,g2,CREATED A CHUNK: image(img=  )
5.7622,PROCEDURAL,CONFLICT RESOLUTION
5.7622,PROCEDURAL,RULE SELECTED: ignore_non_A
5.8122,PROCEDURAL,RULE FIRED: ignore_non_A
5.8122,g,MODIFIED
5.8122,PROCEDURAL,CONFLICT RESOLUTION
5.8122,PROCEDURAL,RULE SELECTED: reset_goal
5.8622,PROCEDURAL,RULE FIRED: reset_goal
5.8622,g,MODIFIED
5.8622,PROCEDURAL,CONFLICT RESOLUTION
5.8622,PROCEDURAL,RULE SELECTED: encode_letter
5.9122,PROCEDURAL,RULE FIRED: encode_letter
5.9122,g,MODIFIED
5.9122,g2,CLEARED
5.9122,PROCEDURAL,CONFLICT RESOLUTION
5.9122,PROCEDURAL,NO RULE FOUND
6.0,PROCEDURAL,CONFLICT RESOLUTION
6.0,PROCEDURAL,NO RULE FOUND
6.0071,visual,"AUTOMATIC BUFFERING: _visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 320, screen_y= 185, value= ), value= O)"
6.0071,PROCEDURAL,CONFLICT RESOLUTION
6.0071,PROCEDURAL,NO RULE FOUND
6.1122,g2,CREATED A CHUNK: image(img=  )
6.1122,PROCEDURAL,CONFLICT RESOLUTION
6.1122,PROCEDURAL,RULE SELECTED: ignore_non_A
6.1622,PROCEDURAL,RULE FIRED: ignore_non_A
6.1622,g,MODIFIED
6.1622,PROCEDURAL,CONFLICT RESOLUTION
6.1622,PROCEDURAL,RULE SELECTED: reset_goal
6.2122,PROCEDURAL,RULE FIRED: reset_goal
6.2122,g,MODIFIED
6.2122,PROCEDURAL,CONFLICT RESOLUTION
6.2122,PROCEDURAL,RULE SELECTED: encode_letter
6.2622,PROCEDURAL,RULE FIRED: encode_letter
6.2622,g,MODIFIED
6.2622,g2,CLEARED
6.2622,PROCEDURAL,CONFLICT RESOLUTION
6.2622,PROCEDURAL,NO RULE FOUND
6.4622,g2,CREATED A CHUNK: image(img= O)
6.4622,PROCEDURAL,CONFLICT RESOLUTION
6.4622,PROCEDURAL,RULE SELECTED: ignore_non_A
6.5122,PROCEDURAL,RULE FIRED: ignore_non_A
6.5122,g,MODIFIED
6.5122,PROCEDURAL,CONFLICT RESOLUTION
6.5122,PROCEDURAL,RULE SELECTED: reset_goal
6.5622,PROCEDURAL,RULE FIRED: reset_goal
6.5622,g,MODIFIED
6.5622,PROCEDURAL,CONFLICT RESOLUTION
6.5622,PROCEDURAL,RULE SELECTED: encode_letter
6.6122,PROCEDURAL,RULE FIRED: encode_letter
6.6122,g,MODIFIED
6.6122,g2,CLEARED
6.6122,PROCEDURAL,CONFLICT RESOLUTION
6.6122,PROCEDURAL,NO RULE FOUND
6.8122,g2,CREATED A CHUNK: image(img= O)
6.8122,PROCEDURAL,CONFLICT RESOLUTION
6.8122,PROCEDURAL,RULE SELECTED: ignore_non_A
6.8622,PROCEDURAL,RULE FIRED: ignore_non_A
6.8622,g,MODIFIED
6.8622,PROCEDURAL,CONFLICT RESOLUTION
6.8622,PROCEDURAL,RULE SELECTED: reset_goal
6.9122,PROCEDURAL,RULE FIRED: reset_goal
6.9122,g,MODIFIED
6.9122,PROCEDURAL,CONFLICT RESOLUTION
6.9122,PROCEDURAL,RULE SELECTED: encode_letter
6.9622,PROCEDURAL,RULE FIRED: encode_letter
6.9622,g,MODIFIED
6.9622,g2,CLEARED
6.9622,PROCEDURAL,CONFLICT RESOLUTION
6.9622,PROCEDURAL,NO RULE FOUND
7.0,PROCEDURAL,CONFLICT RESOLUTION
7.0,PROCEDURAL,NO RULE FOUND
7.0101,visual,"AUTOMATIC BUFFERING: _visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 320, screen_y= 185, value= ), value=  )"
7.0101,PROCEDURAL,CONFLICT RESOLUTION
7.0101,PROCEDURAL,NO RULE FOUND
7.1622,g2,CREATED A CHUNK: image(img= O)
7.1622,PROCEDURAL,CONFLICT RESOLUTION
7.1622,PROCEDURAL,RULE SELECTED: ignore_non_A
7.2122,PROCEDURAL,RULE FIRED: ignore_non_A
7.2122,g,MODIFIED
7.2122,PROCEDURAL,CONFLICT RESOLUTION
7.2122,PROCEDURAL,RULE SELECTED: reset_goal
7.2622,PROCEDURAL,RULE FIRED: reset_goal
7.2622,g,MODIFIED
7.2622,PROCEDURAL,CONFLICT RESOLUTION
7.2622,PROCEDURAL,RULE SELECTED: encode_letter
7.3122,PROCEDURAL,RULE FIRED: encode_letter
7.3122,g,MODIFIED
7.3122,g2,CLEARED
7.3122,PROCEDURAL,CONFLICT RESOLUTION
7.3122,PROCEDURAL,NO RULE FOUND
7.5122,g2,CREATED A CHUNK: image(img=  )
7.5122,PROCEDURAL,CONFLICT RESOLUTION
7.5122,PROCEDURAL,RULE SELECTED: ignore_non_A
7.5622,PROCEDURAL,RULE FIRED: ignore_non_A
7.5622,g,MODIFIED
7.5622,PROCEDURAL,CONFLICT RESOLUTION
7.5622,PROCEDURAL,RULE SELECTED: reset_goal
7.6122,PROCEDURAL,RULE FIRED: reset_goal
7.6122,g,MODIFIED
7.6122,PROCEDURAL,CONFLICT RESOLUTION
7.6122,PROCEDURAL,RULE SELECTED: encode_letter
7.6622,PROCEDURAL,RULE FIRED: encode_letter
7.6622,g,MODIFIED
7.6622,g2,CLEARED
7.6622,PROCEDURAL,CONFLICT RESOLUTION
7.6622,PROCEDURAL,NO RULE FOUND
7.8622,g2,CREATED A CHUNK: image(img=  )
7.8622,PROCEDURAL,CONFLICT RESOLUTION
7.8622,PROCEDURAL,RULE SELECTED: ignore_non_A
7.9122,PROCEDURAL,RULE FIRED: ignore_non_A
7.9122,g,MODIFIED
7.9122,PROCEDURAL,CONFLICT RESOLUTION
7.9122,PROCEDURAL,RULE SELECTED: reset_goal
7.9622,PROCEDURAL,RULE FIRED: reset_goal
7.9622,g,MODIFIED
7.9622,PROCEDURAL,CONFLICT RESOLUTION
7.9622,PROCEDURAL,RULE SELECTED: encode_letter
8.0095,visual,"AUTOMATIC BUFFERING: _visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 320, screen_y= 185, value= ), value= A)"
8.0122,PROCEDURAL,RULE FIRED: encode_letter
8.0122,g,MODIFIED
8.0122,g2,CLEARED
8.0122,PROCEDURAL,CONFLICT RESOLUTION
8.0122,PROCEDURAL,NO RULE FOUND
8.2122,g2,CREATED A CHUNK: image(img= A)
8.2122,PROCEDURAL,CONFLICT RESOLUTION
8.2122,PROCEDURAL,RULE SELECTED: respond_to_A
8.2622,PROCEDURAL,RULE FIRED: respond_to_A
8.2622,g,MODIFIED
8.2622,manual,COMMAND: press_key
8.2622,manual,PREPARATION COMPLETE
8.2622,PROCEDURAL,CONFLICT RESOLUTION
8.2622,PROCEDURAL,RULE SELECTED: reset_goal
8.3122,manual,INITIATION COMPLETE
8.3122,PROCEDURAL,RULE FIRED: reset_goal
8.3122,g,MODIFIED
8.3122,PROCEDURAL,CONFLICT RESOLUTION
8.3122,PROCEDURAL,RULE SELECTED: encode_letter
8.3622,PROCEDURAL,RULE FIRED: encode_letter
8.3622,g,MODIFIED
8.3622,g2,CLEARED
8.3622,PROCEDURAL,CONFLICT RESOLUTION
8.3622,PROCEDURAL,NO RULE FOUND
8.4122,manual,KEY PRESSED: 1
8.4122,PROCEDURAL,CONFLICT RESOLUTION
8.4122,PROCEDURAL,NO RULE FOUND
8.5622,manual,MOVEMENT FINISHED
8.5622,g2,CREATED A CHUNK: image(img= A)
8.5622,PROCEDURAL,CONFLICT RESOLUTION
8.5622,PROCEDURAL,RULE SELECTED: respond_to_A
8.6122,PROCEDURAL,RULE FIRED: respond_to_A
8.6122,g,MODIFIED
8.6122,manual,COMMAND: press_key
8.6122,manual,PREPARATION COMPLETE
8.6122,PROCEDURAL,CONFLICT RESOLUTION
8.6122,PROCEDURAL,RULE SELECTED: reset_goal
8.6622,manual,INITIATION COMPLETE
8.6622,PROCEDURAL,RULE FIRED: reset_goal
8.6622,g,MODIFIED
8.6622,PROCEDURAL,CONFLICT RESOLUTION
8.6622,PROCEDURAL,RULE SELECTED: encode_letter
8.7122,PROCEDURAL,RULE FIRED: encode_letter
8.7122,g,MODIFIED
8.7122,g2,CLEARED
8.7122,PROCEDURAL,CONFLICT RESOLUTION
8.7122,PROCEDURAL,NO RULE FOUND
8.7622,manual,KEY PRESSED: 1
8.7622,PROCEDURAL,CONFLICT RESOLUTION
8.7622,PROCEDURAL,NO RULE FOUND
8.9122,manual,MOVEMENT FINISHED
8.9122,g2,CREATED A CHUNK: image(img= A)
8.9122,PROCEDURAL,CONFLICT RESOLUTION
8.9122,PROCEDURAL,RULE SELECTED: respond_to_A
8.9622,PROCEDURAL,RULE FIRED: respond_to_A
8.9622,g,MODIFIED
8.9622,manual,COMMAND: press_key
8.9622,manual,PREPARATION COMPLETE
8.9622,PROCEDURAL,CONFLICT RESOLUTION
8.9622,PROCEDURAL,RULE SELECTED: reset_goal
9.0097,visual,"AUTOMATIC BUFFERING: _visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 320, screen_y= 185, value= ), value=  )"
9.0122,manual,INITIATION COMPLETE
9.0122,PROCEDURAL,RULE FIRED: reset_goal
9.0122,g,MODIFIED
9.0122,PROCEDURAL,CONFLICT RESOLUTION
9.0122,PROCEDURAL,RULE SELECTED: encode_letter
9.0622,PROCEDURAL,RULE FIRED: encode_letter
9.0622,g,MODIFIED
9.0622,g2,CLEARED
9.0622,PROCEDURAL,CONFLICT RESOLUTION
9.0622,PROCEDURAL,NO RULE FOUND
9.1122,manual,KEY PRESSED: 1
9.1122,PROCEDURAL,CONFLICT RESOLUTION
9.1122,PROCEDURAL,NO RULE FOUND
9.2622,manual,MOVEMENT FINISHED
9.2622,g2,CREATED A CHUNK: image(img=  )
9.2622,PROCEDURAL,CONFLICT RESOLUTION
9.2622,PROCEDURAL,RULE SELECTED: ignore_non_A
9.3122,PROCEDURAL,RULE FIRED: ignore_non_A
9.3122,g,MODIFIED
9.3122,PROCEDURAL,CONFLICT RESOLUTION
9.3122,PROCEDURAL,RULE SELECTED: reset_goal
9.3622,PROCEDURAL,RULE FIRED: reset_goal
9.3622,g,MODIFIED
9.3622,PROCEDURAL,CONFLICT RESOLUTION
9.3622,PROCEDURAL,RULE SELECTED: encode_letter
9.4122,PROCEDURAL,RULE FIRED: encode_letter
9.4122,g,MODIFIED
9.4122,g2,CLEARED
9.4122,PROCEDURAL,CONFLICT RESOLUTION
9.4122,PROCEDURAL,NO RULE FOUND
9.6122,g2,CREATED A CHUNK: image(img=  )
9.6122,PROCEDURAL,CONFLICT RESOLUTION
9.6122,PROCEDURAL,RULE SELECTED: ignore_non_A
9.6622,PROCEDURAL,RULE FIRED: ignore_non_A
9.6622,g,MODIFIED
9.6622,PROCEDURAL,CONFLICT RESOLUTION
9.6622,PROCEDURAL,RULE SELECTED: reset_goal
9.7122,PROCEDURAL,RULE FIRED: reset_goal
9.7122,g,MODIFIED
9.7122,PROCEDURAL,CONFLICT RESOLUTION
9.7122,PROCEDURAL,RULE SELECTED: encode_letter
9.7622,PROCEDURAL,RULE FIRED: encode_letter
9.7622,g,MODIFIED
9.7622,g2,CLEARED
9.7622,PROCEDURAL,CONFLICT RESOLUTION
9.7622,PROCEDURAL,NO RULE FOUND
9.9622,g2,CREATED A CHUNK: image(img=  )
9.9622,PROCEDURAL,CONFLICT RESOLUTION
9.9622,PROCEDURAL,RULE SELECTED: ignore_non_A
10.0122,PROCEDURAL,RULE FIRED: ignore_non_A
10.0122,g,MODIFIED
10.0122,PROCEDURAL,CONFLICT RESOLUTION
10.0122,PROCEDURAL,RULE SELECTED: reset_goal
10.0126,visual,"AUTOMATIC BUFFERING: _visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 320, screen_y= 185, value= ), value= A)"
10.0622,PROCEDURAL,RULE FIRED: reset_goal
10.0622,g,MODIFIED
10.0622,PROCEDURAL,CONFLICT RESOLUTION
10.0622,PROCEDURAL,RULE SELECTED: encode_letter
10.1122,PROCEDURAL,RULE FIRED: encode_letter
10.1122,g,MODIFIED
